id,name,party,sector,country
UvdL,Ursula von der Leyen,CDU,Politik,Deutschland
LK,Lars Klingbeil,SPD,Politik,Deutschland
NR,Norbert Röttgen,CDU,Politik,Deutschland
SW,Sahra Wagenknecht,Die Linke,Politik,Deutschland
CS,Constanze Stelzenmüller,,Recht,Deutschland
500,Folge 500,,,
CL,Christian Lindner,FDP,Politik,Deutschland
KS,Karl Schlögel,,Geschichte,Deutschland
LM,Ljudmyla Melnyk,,Wissenschaft,Ukraine
KD,Kristina Dunz,,Journalismus,Deutschland
EL,Egils Levits,,Politik,Lettland
501,Folge 501,,,
AB,Annalena Baerbock,Die Grünen,Politik,Deutschland
FT,Frans Timmermans,,Politik,Deutschland
AM,Andrij Melnyk,,Politik,Ukraine
AGL,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
ER,Egon Ramms,,Militär,Deutschland
502,Folge 502,,,
RH,Robert Habeck,Die Grünen,Politik,Deutschland
CM,Claudia Major,,Wissenschaft,Deutschland
KP,Katja Petrowskaja,,Journalismus,Deutschland/Ukraine
RK,Roderich Kiesewetter,CDU,Politik,Deutschland
503,Folge 503,,,
